
????

  ??  ????          ????        ??           PID
  TCP    192.168.166.167:57260  122.193.250.54:80      CLOSE_WAIT      4672
  TCP    192.168.166.167:57261  122.193.250.54:80      CLOSE_WAIT      4672
  TCP    192.168.166.167:57262  122.193.250.54:80      CLOSE_WAIT      4672
  TCP    192.168.166.167:57263  122.193.250.54:80      CLOSE_WAIT      4672
  TCP    192.168.166.167:57264  122.193.250.54:80      CLOSE_WAIT      4672
  TCP    192.168.166.167:57265  140.207.120.159:443    CLOSE_WAIT      4672
  TCP    192.168.166.167:57266  140.207.120.159:443    CLOSE_WAIT      4672
  TCP    192.168.166.167:57293  175.27.13.142:14000    ESTABLISHED     4672
  TCP    192.168.166.167:58127  103.181.165.151:53539  TIME_WAIT       0
  TCP    192.168.166.167:58140  175.27.0.92:443        CLOSE_WAIT      45292
  TCP    192.168.166.167:58142  175.27.0.92:443        CLOSE_WAIT      45292
  TCP    192.168.166.167:58145  58.221.45.25:80        TIME_WAIT       0
  TCP    192.168.166.167:58147  58.222.51.98:80        TIME_WAIT       0
  TCP    192.168.166.167:58148  58.221.45.186:80       TIME_WAIT       0
  TCP    192.168.166.167:58149  61.170.82.21:80        TIME_WAIT       0
  TCP    192.168.166.167:58150  58.222.51.98:80        TIME_WAIT       0
  TCP    192.168.166.167:58151  58.216.84.75:80        TIME_WAIT       0
  TCP    192.168.166.167:58152  123.54.199.54:80       TIME_WAIT       0
  TCP    192.168.166.167:58153  58.222.51.98:443       TIME_WAIT       0
  TCP    192.168.166.167:58179  103.181.165.161:53539  ESTABLISHED     45292
  TCP    192.168.166.167:58182  175.27.45.252:443      ESTABLISHED     45292
  TCP    192.168.166.167:58197  101.91.43.203:443      TIME_WAIT       0
  TCP    192.168.166.167:58215  142.250.73.106:443     SYN_SENT        18628
  TCP    192.168.166.167:58216  142.250.73.106:443     SYN_SENT        18628
  TCP    192.168.166.167:58218  172.19.112.1:50071     SYN_SENT        6504
  TCP    192.168.166.167:58224  223.6.6.6:443          ESTABLISHED     45292
  TCP    192.168.166.167:59129  45.121.184.100:27020   ESTABLISHED     21868
  TCP    192.168.166.167:61041  4.145.79.81:443        ESTABLISHED     6096
  TCP    192.168.166.167:61727  48.210.190.78:443      ESTABLISHED     45292
  TCP    192.168.166.167:62931  120.53.53.53:443       ESTABLISHED     45292
  TCP    192.168.166.167:62966  60.28.193.195:443      CLOSE_WAIT      40096
  TCP    192.168.166.167:62967  111.202.16.252:443     CLOSE_WAIT      40096
  TCP    192.168.166.167:64625  40.79.173.41:443       ESTABLISHED     45292
  TCP    [::]:53                [::]:0                 LISTENING       45292
  TCP    [::]:135               [::]:0                 LISTENING       2672
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       3392
  TCP    [::]:8000              [::]:0                 LISTENING       6956
  TCP    [::]:49664             [::]:0                 LISTENING       2364
  TCP    [::]:49665             [::]:0                 LISTENING       2124
  TCP    [::]:49666             [::]:0                 LISTENING       2280
  TCP    [::]:49667             [::]:0                 LISTENING       4572
  TCP    [::]:49668             [::]:0                 LISTENING       5628
  TCP    [::]:49685             [::]:0                 LISTENING       2344
  TCP    [::]:50052             [::]:0                 LISTENING       6368
  TCP    [::1]:5173             [::]:0                 LISTENING       42876
  TCP    [::1]:5173             [::1]:58941            ESTABLISHED     42876
  TCP    [::1]:5173             [::1]:61341            ESTABLISHED     42876
  TCP    [::1]:42050            [::]:0                 LISTENING       33356
  TCP    [::1]:58941            [::1]:5173             ESTABLISHED     43476
  TCP    [::1]:61341            [::1]:5173             ESTABLISHED     43476
  UDP    0.0.0.0:53             *:*                                    5520
  UDP    0.0.0.0:53             *:*                                    45292
  UDP    0.0.0.0:1863           *:*                                    4672
  UDP    0.0.0.0:5050           *:*                                    10788
  UDP    0.0.0.0:5353           *:*                                    22592
  UDP    0.0.0.0:5353           *:*                                    22592
  UDP    0.0.0.0:5353           *:*                                    22592
  UDP    0.0.0.0:5353           *:*                                    22592
  UDP    0.0.0.0:5353           *:*                                    10036
  UDP    0.0.0.0:5353           *:*                                    10036
  UDP    0.0.0.0:5353           *:*                                    10036
  UDP    0.0.0.0:5353           *:*                                    10036
  UDP    0.0.0.0:5353           *:*                                    4156
  UDP    0.0.0.0:5353           *:*                                    10036
  UDP    0.0.0.0:5353           *:*                                    10036
  UDP    0.0.0.0:5353           *:*                                    22592
  UDP    0.0.0.0:5353           *:*                                    22592
  UDP    0.0.0.0:5355           *:*                                    4156
  UDP    0.0.0.0:9527           *:*                                    5804
  UDP    0.0.0.0:27036          *:*                                    21868
  UDP    0.0.0.0:32145          *:*                                    21092
  UDP    0.0.0.0:50469          *:*                                    5520
  UDP    0.0.0.0:50470          *:*                                    5520
